id,english,hindi
1,My grandfather is from Osaka.,मेरे दादा ओसाका के हैं।
2,Did you forget?,भूल गयी?
3,Take this medicine every six hours.,इस दवाई को हर छः घंटे लेना।
4,They adopted the orphan.,उन्होंने अनाथ बच्चे को गोद ले लिया।
5,There are no towels in room 15.,कमरा नम्बर पंद्राह में तौलिये नहीं हैं।
6,I need coughing medicine.,मुझे खाँसी की दवाई चाहिए।
7,I tried to tell you.,मैंने तुम्हे बताने की कोशिश करी थी।
8,This river is beautiful.,यह नदी बहुत सुन्दर है।
9,I accompanied her on a walk.,मैं उसके साथ सैर के लिए गया।
10,I want this photograph developed as soon as possible.,मुझे यह तस्वीर जल्द-से-जल्द बनवानी है।
11,He will commit suicide if he can't see his son.,वह अपने बेटे को नहीं देख पाया तो वह आत्महत्या कर लेगा।
12,I was scared that you might leave me.,मुझे डर था कि तुम मुझे छोड़ दोगे।
13,They looked at each other.,उन्होंने एक-दूसरे को देखा।
14,Is it hard to speak English?,अंग्रेज़ी बोलना मुश्किल होता है क्या?
15,The child must be taught to respect the truth and to tell the truth.,इस बच्चे को सच का आदर और सच का पालन करना सिखाना होगा।
16,"I tried to give her some money, but she wouldn't take any.",मैंने उसको पैसे देने की कोशिश करी पर उसने इनकार कर दिया।
17,"She is very careful, so she seldom makes mistakes.","वह बहुत ध्यानपूर्वक है, इसलिए बहुत कम ग़लतियाँ करती है।"
18,The world is a small village.,दुनिया एक छोटा सा गाँव है।
19,Mother bought a beautiful doll for her.,माँ ने उसके लिए एक सुन्दर सी गुड़िया खरीदी।
20,This is a picture of my sister.,यह मेरी बहन की तस्वीर है।
21,He finished his dinner because he didn't like to waste food.,"उसे खाने की बर्बादी करना पसंद नहीं था, तो उसने अपना खाना खाकर खतम किया।"
22,Kanji are difficult to read.,चीनी अक्षर पढ़ने में मुश्किल होते हैं।
23,He cannot answer their questions.,वह उनके सवालों का जवाब नहीं दे सकता।
24,Our meeting was quite accidental.,हमारी मुलाकात ग़लती से हो गई।
25,"Who searches, finds.","जो ढूँढता है, उसीको मिलता है।"
26,The hole is about five feet across.,गड्ढा पाँच फ़ुट चौड़ा है।
27,My whole body feels heavy.,मेरा पूरा शरीर भारी सा लगता है।
28,He is possessed of intelligence.,वह अकलमंद है।
29,No answer is also an answer.,जवाब न देना भी एक तरह का जवाब होता है।
30,I'd like a city map.,मुझे शहर का नक्शा चाहिए।
31,He broke himself of the bad habit of smoking.,उसने अपनी सिगरेट पीने की बुरी आदत छोड़ दी।
32,This soup smacks of fish.,इस सूप में मछली का स्वाद है।
33,Mary is setting by money to go to Japan.,मेरी जापान जाने के लिए पैसे जुटा रही है।
34,These shoes are hers.,यह जूते उसके हैं।
35,It's for free.,यह मुफ़्त है।
36,It is free of charge.,यह मुफ़्त का है।
37,The food was not fit for man or beast.,वह खाना न तो आदमी न जानवर को खिलाने लायक था।
38,It has been fine since last Friday.,पिछले शनिवार से मौसम बहुत अच्छा है।
39,He asked our pardon for making a mistake.,उसने ग़लती करने के लिए हमसे माफ़ी माँगी।
40,I couldn't make out what he wanted to say.,मैं समझ नहीं पा रहा था कि वह कहना क्या चाहता था।
41,What number should I call in case of an emergency?,आपातकालीन स्तिथि में मुझे क्या नम्बर मिलाना चाहिए?
42,The jeans looked none the cleaner for having been washed.,जीन्ज़ धुलकर भी साफ़ नहीं लग रहीं थीं।
43,Something must have happened to him on the way.,उसके साथ रास्ते पर कुछ हुआ होगा।
44,Let me give you a piece of advice.,मैं तुम्हें एक बात की सलाह देता हूँ।
45,There is no point in studying if you are feeling tired.,अगर थक गए हो तो पढ़ाई करने से कोई फ़ायदा नहीं है।
46,"The instant he opened the door, he smelt something burning.",उसे दरवाज़ा खोलते ही किसी चीज़ के जलने की बदबू सुँघाई दी।
47,That's too small to fit on your head.,वह तुम्हारे सर के लिए बहुत छोटा है।
48,What do you want to do in the afternoon?,तुम्हे दोपहर में क्या करने का मन है?
