id,english,hindi
1,"Other, Private Use","अन्य, निज़ी उपयोग"
2,[SCREAMING],ऊबड़ .
3,Spouse,जीवनसाथी
4,I will never salute you!,- तुम एक कमांडर कभी नहीं होगा!
5,and the stars and the trees bow themselves;,और तारे और वृक्ष सजदा करते है;
6,_Download Messages for Offline Usage,ऑफ़लाइन प्रयोग के लिए संदेश डाउनलोड करें (_D)
7,Nor is it the speech of a soothsayer; how little do you ponder!,और न किसी काहिन की (ख्याली) बात है तुम लोग तो बहुत कम ग़ौर करते हो
8,"A folder named ""{1}"" already exists. Please use a different name.","""{1}"" नाम से फ़ोल्डर पहले से उपस्थित है. कृपया दूसरे नाम का उपयोग करें."
9,The application '%s' could not be created,अनुप्रयोग '%s' के लिए इस्तेमाल किया जा के लिए तैयार है.
10,"Believers, it is unlawful for you to inherit women forcefully, neither bar them, in order that you go off with part of what you have given them, except when they commit a clear indecency. Live with them honorably. If you hate them, it may be that you hate something which Allah has set in it much good.","ऐ ईमान लानेवालो! तुम्हारे लिए वैध नहीं कि स्त्रियों के माल के ज़बरदस्ती वारिस बन बैठो, और न यह वैध है कि उन्हें इसलिए रोको और तंग करो कि जो कुछ तुमने उन्हें दिया है, उसमें से कुछ ले उड़ो। परन्तु यदि वे खुले रूप में अशिष्ट कर्म कर बैठे तो दूसरी बात है। और उनके साथ भले तरीक़े से रहो-सहो। फिर यदि वे तुम्हें पसन्द न हों, तो सम्भव है कि एक चीज़ तुम्हें पसन्द न हो और अल्लाह उसमें बहुत कुछ भलाई रख दे"
11,Display title of the plugin,प्रदर्शक का प्लगइन
12,"or take admonition, and the admonition would benefit him!",या नसीहत हासिल करता हो तो नसीहत उसके लिए लाभदायक हो?
13,"In some few years. Allah's is the command, before and after. And on that day the believers wiil rejoice.",हुक्म तो अल्लाह ही का है पहले भी और उसके बाद भी। और उस दिन ईमानवाले अल्लाह की सहायता से प्रसन्न होंगे।
14,"Unable to open the selected audio device for playing. In case it is a pluggable device it may be sufficient to reconnect it. If not, or if it still is not accessible, please check your audio setup, the permissions and that the device is not busy.","बजाने के लिए चयनित ऑडियो युक्ति खोलने में असमर्थ. यदि यह एक प्लगेबल युक्ति है, इसे फिर कनेक्ट करना पर्याप्त होगा. यदि नहीं, या यह अभी भी पहुँच योग्य नहीं है, कृपया अपने ऑडियो सेटअप को जाँचें, अनुमति, और देखें कि युक्ति व्यस्त तो नहीं है."
15,- I want to know what's happening.,- मुझे पता है क्या हो रहा है चाहता हूँ.
16,Information requested…,सूचना आग्रहित...
